app,name,description
"Microsoft.ZuneMusic","Zune","Microsoft's Zune Music Player"
"Microsoft.Music.Preview","Music Preview", "Microsoft's Music Preview"
"Microsoft.XboxGameCallableUI","Xbox Gaming GUI", "Microsoft's Xbox Game Bar"
"Microsoft.XboxIdentityProvider","Xbox ID Provider", "Microsoft's Xbox Live Account Management"
"Microsoft.BingTravel","Bing Travel", 
"Microsoft.BingHealthAndFitness","Bing Health and Fitness"
"Microsoft.BingFoodAndDrink","Bing Food and Drink"
"Microsoft.People","Microsoft People"
"Microsoft.BingFinance","Bing Finance"
"Microsoft.3DBuilder","3D Builder"
"Microsoft.WindowsCalculator","Windows Calculator"
"Microsoft.BingNews","Bing News"
"Microsoft.XboxApp","Xbox App"
"Microsoft.BingSports","Bing Sports"
"Microsoft.WindowsCamera","Windows Camera"
"Microsoft.Getstarted","Windows Get Started"
"Microsoft.Office.OneNote","Microsoft One Note"
"Microsoft.WindowsMaps","Windows Maps"
"Microsoft.MicrosoftSolitaireCollection","Microsoft Solitaire"
"Microsoft.MicrosoftOfficeHub","Microsoft Office Hub"
"Microsoft.BingWeather","Bing Weather"
"Microsoft.WindowsStore","Windows Store"
"Microsoft.Windows.Photos","Windows Photos"
"Microsoft.WindowsPhone","Windows Phone"